id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity
53939356,435279521,100,100.0,f,t,t,47.73908,-122.29009,1,2.0,1.0,1.0,42.0,1.0,1125.0,4.33,4.67,4.22,5.0,4.78,4.33,4.44,t,7,5,2,f,f,2,28,367,0.03,-1.98,-1.95
630392837253856994,104834083,98,99.0,f,t,t,47.50846,-122.23577,5,1.0,2.0,4.0,194.0,3.1,31.3,4.5,4.5,5.0,4.0,4.5,4.5,4.5,t,46,5,3,f,f,2,37,2209,-0.45,-1.56,-2.0100000000000002
19553441,25383292,0,33.0,t,t,t,47.58493,-122.40062,6,3.0,3.0,3.0,595.0,30.0,30.0,5.0,5.0,4.95,4.95,5.0,5.0,4.9,f,2,1,3,t,t,2,69,2902,-1.01,-1.98,-2.99
606740310546802034,121968404,100,100.0,f,t,t,47.74255,-122.32712,6,2.0,3.0,4.0,248.0,3.0,1125.0,4.86,4.86,5.0,5.0,5.0,4.86,5.0,f,1,5,3,f,t,2,54,2089,0.01,-0.17,-0.16
675687046361565951,114731080,100,100.0,t,t,t,47.74408,-122.28824,12,3.0,6.0,8.0,362.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,5,3,f,t,3,57,2136,-0.5,-0.49,-0.99
23896079,28319832,100,94.0,t,t,t,47.51039,-122.31058,2,1.0,1.0,1.0,71.0,1.0,5.0,4.83,4.89,4.82,4.89,4.86,4.75,4.87,f,2,4,2,f,t,2,34,2845,2.78,-1.02,1.7599999999999998
10123910,28991907,100,0.0,t,t,t,47.6144,-122.28014,8,2.0,3.0,5.0,399.0,5.0,365.0,4.82,4.8,4.77,4.99,4.92,4.96,4.7,f,1,4,3,t,t,3,41,2834,-0.57,1.11,0.5400000000000001
4995768,25749669,75,50.0,f,t,t,47.50515,-122.34091,2,1.5,1.0,1.0,90.0,2.0,1125.0,4.67,4.8,4.47,4.93,4.87,4.73,4.71,f,4,3,2,f,t,2,33,2894,-0.92,-1.34,-2.2600000000000002
697740980653683720,423937178,100,100.0,f,t,t,47.48607,-122.28398,10,3.0,5.0,5.0,298.0,2.0,365.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,5,3,f,f,1,45,445,0.74,-0.17,0.57
52134913,23165254,100,98.0,f,t,t,47.51642,-122.33738,8,1.0,2.0,2.0,349.0,173.1,365.0,4.64,4.18,4.91,4.55,4.64,4.55,4.18,t,10,5,3,f,t,3,30,2963,-0.73,1.11,0.3800000000000001
3578755,1639677,100,0.0,f,t,t,47.63584,-122.3313,5,1.5,3.0,3.0,933.0,30.0,365.0,4.91,5.0,5.0,5.0,5.0,5.0,4.73,f,1,4,3,f,t,3,14,3975,-1.11,-0.07,-1.1800000000000002
50229265,25443744,100,100.0,f,t,t,47.49518,-122.32401,4,1.0,1.0,2.0,120.0,2.0,1125.0,4.47,4.67,4.47,4.93,4.73,4.53,4.47,t,1,5,3,f,t,2,45,2900,-0.68,1.11,0.43000000000000005
660134507221185263,432019387,100,100.0,f,t,t,47.49778,-122.31759,3,1.0,1.0,1.0,159.0,1.0,1125.0,4.92,5.0,5.0,5.0,5.0,4.31,4.62,t,1,5,3,f,t,2,49,390,1.65,-0.71,0.94
640605557195532448,459383756,100,100.0,f,t,t,47.51351529999999,-122.3122375,3,1.0,1.0,1.0,165.0,1.0,1125.0,4.96,4.92,5.0,4.96,5.0,4.75,4.83,t,4,5,3,f,t,2,24,208,4.85,-1.24,3.6099999999999994
629891486106686879,317871568,96,99.0,f,t,t,47.73385,-122.29539,2,1.5,1.0,1.0,55.0,1.0,28.0,4.85,4.85,4.96,4.88,4.92,4.77,4.85,f,3,5,2,f,t,1,35,1091,2.15,0.68,2.83
39447054,151184281,100,98.0,t,t,t,47.49635,-122.34081,2,1.0,1.0,1.0,97.0,1.0,1125.0,4.82,4.9,4.94,4.9,4.89,4.8,4.85,f,5,5,2,f,t,2,30,1908,1.68,-1.02,0.6599999999999999
635742526455974819,245855406,100,97.0,f,t,f,47.55822,-122.22917,3,1.0,1.0,2.0,219.0,2.0,365.0,5.0,4.8,4.93,4.93,5.0,4.93,4.8,f,1,5,3,f,t,1,59,1382,1.02,-0.81,0.20999999999999996
44667695,51601507,100,100.0,f,t,t,47.48493,-122.24346,1,1.0,1.0,1.0,129.0,2.0,29.0,4.73,4.91,4.73,4.91,4.91,4.91,4.82,f,3,5,2,f,t,2,47,2550,-0.92,1.11,0.19000000000000006
25905002,193023955,100,65.0,f,t,t,47.74563,-122.3313,2,1.0,1.0,1.0,87.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,4,2,f,t,2,53,1652,-0.69,-1.88,-2.57
50422713,67661991,100,80.0,t,t,t,47.70507,-122.24413,4,1.0,1.0,2.0,149.0,3.0,1125.0,4.85,4.92,4.92,5.0,5.0,4.54,4.85,f,1,5,3,f,f,2,57,2428,-0.66,0.15,-0.51
40864735,317871568,96,99.0,f,t,t,47.73564,-122.29414,2,1.0,1.0,1.0,86.0,1.0,28.0,4.83,4.74,4.91,5.0,4.96,4.78,4.74,f,3,5,2,f,t,1,45,1091,-0.83,-0.6,-1.43
14000589,25749669,75,50.0,f,t,t,47.50371,-122.34199,2,1.5,1.0,1.0,95.0,3.0,1125.0,4.57,4.64,4.71,4.71,4.71,4.31,4.46,f,4,3,2,f,t,2,28,2894,-1.08,-1.34,-2.42
16733665,36390224,100,90.0,t,t,t,47.64439,-122.32766,5,2.5,2.0,3.0,249.0,30.0,1125.0,4.94,4.97,4.97,5.0,5.0,4.9,4.84,f,1,5,3,t,f,2,39,2729,-0.94,1.11,0.17000000000000015
40863283,317871568,96,99.0,f,t,t,47.73504,-122.29564,2,1.0,1.0,1.0,81.0,1.0,28.0,4.94,4.94,5.0,4.94,5.0,5.0,4.94,f,3,5,2,f,t,1,57,1091,1.09,0.25,1.34
580365544480383496,3436665,86,95.0,f,t,t,47.51075,-122.34122,4,1.0,1.0,1.0,107.0,2.0,1125.0,4.2,4.6,3.8,3.6,4.4,4.0,4.4,t,1,5,3,f,t,2,52,3753,-0.78,-1.56,-2.34
684160301238028473,451209387,100,88.0,f,t,t,47.55089,-122.23016,8,2.0,3.0,4.0,225.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,5,3,f,f,2,15,260,-0.21,-0.81,-1.02
544308358342040260,6865216,100,99.0,t,t,t,47.50904,-122.36056,4,1.0,2.0,3.0,117.0,1.3,1125.0,4.91,4.89,4.77,4.98,5.0,4.83,4.87,f,1,5,3,f,t,2,55,3469,1.73,-0.28,1.45
14385126,7076008,100,97.0,t,t,t,47.64153,-122.27674,6,3.5,4.0,4.0,329.0,30.0,1125.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,f,2,5,3,t,t,2,34,3457,-1.1,-0.07,-1.1700000000000002
30499937,21374074,100,95.0,t,t,t,47.51148,-122.35976,4,1.0,2.0,2.0,158.0,2.1,1125.0,4.82,4.85,4.79,4.92,4.93,4.68,4.65,t,1,5,3,f,f,3,45,3008,-0.12,-1.98,-2.1
37011084,952510,100,100.0,t,t,t,47.7425,-122.29005,2,1.0,1.0,1.0,66.0,3.7,1125.0,4.8,4.93,4.67,4.98,4.95,4.92,4.9,t,1,5,2,f,f,2,26,4140,0.24,1.11,1.35
20915631,150314867,100,96.0,t,t,t,47.49612,-122.36631,6,1.0,1.0,3.0,150.0,4.0,1125.0,4.94,4.93,4.96,4.93,4.94,4.91,4.9,t,1,5,3,f,f,2,60,1915,-0.16,-1.88,-2.04
668912730192993420,104834083,98,99.0,f,t,t,47.73634162563428,-122.34461794069514,9,1.5,3.0,6.0,240.0,2.2,30.5,5.0,4.75,4.75,5.0,5.0,5.0,4.75,t,46,5,3,f,f,2,37,2209,0.05,-0.6,-0.5499999999999999
14404918,48180916,0,0.0,f,t,f,47.49553,-122.37122,2,2.0,1.0,1.0,85.0,1.0,7.0,4.96,5.0,5.0,5.0,5.0,4.91,4.95,t,1,1,2,f,t,2,27,2593,-1.01,1.11,0.10000000000000009
39060942,149757297,100,98.0,t,t,t,47.51234,-122.35925,4,1.0,2.0,2.0,104.0,3.0,1125.0,4.8,4.84,4.87,5.0,4.94,4.77,4.74,t,1,5,3,f,t,2,46,1919,-0.07,0.04,-0.030000000000000006
