Province,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,49.14 ,44.39 ,50.49 ,48.65 ,47.61 ,45.46 ,42.34 ,38.15 ,41.21 ,37.35 ,33.94 ,31.50 ,30.77 ,28.12 ,30.13 ,29.36 ,24.49 ,23.89 ,20.29 ,20.49 
Tianjin,32.95 ,28.41 ,28.87 ,28.29 ,28.85 ,25.61 ,23.33 ,22.85 ,23.05 ,22.85 ,20.99 ,17.48 ,17.01 ,15.46 ,15.74 ,15.22 ,14.08 ,14.34 ,10.86 ,10.57 
Hebei,14.17 ,13.32 ,11.32 ,11.20 ,9.99 ,10.31 ,10.21 ,7.94 ,7.73 ,5.79 ,5.37 ,7.30 ,5.62 ,4.81 ,4.16 ,3.93 ,4.73 ,5.89 ,6.60 ,4.69 
Shanxi ,20.11 ,18.47 ,15.15 ,15.54 ,14.92 ,13.57 ,13.74 ,9.85 ,10.72 ,9.54 ,8.11 ,8.72 ,7.66 ,7.20 ,7.19 ,6.65 ,5.57 ,5.23 ,5.38 ,4.63 
Inner Mongolia,22.82 ,19.72 ,20.55 ,19.33 ,18.13 ,18.28 ,16.14 ,10.89 ,10.08 ,12.06 ,12.65 ,10.21 ,7.95 ,7.42 ,7.46 ,6.51 ,7.93 ,6.63 ,5.46 ,5.64 
Liaoning ,21.27 ,18.98 ,17.15 ,16.65 ,17.34 ,18.02 ,16.93 ,17.21 ,19.83 ,18.50 ,12.53 ,11.97 ,11.82 ,11.00 ,10.00 ,9.57 ,8.34 ,8.29 ,8.97 ,5.52 
Jilin,20.84 ,17.41 ,12.94 ,13.58 ,14.82 ,14.15 ,13.17 ,11.88 ,11.56 ,8.97 ,9.08 ,9.89 ,8.22 ,7.57 ,7.49 ,7.02 ,6.68 ,6.85 ,6.42 ,6.50 
Heilongjiang,18.38 ,15.27 ,14.37 ,13.89 ,13.38 ,13.47 ,13.28 ,12.35 ,12.24 ,10.11 ,9.42 ,9.07 ,6.55 ,5.97 ,6.40 ,6.11 ,6.42 ,4.68 ,4.90 ,4.87 
Shanghai,38.65 ,35.35 ,30.73 ,31.70 ,34.03 ,30.05 ,28.70 ,27.13 ,24.69 ,23.07 ,21.18 ,21.95 ,23.66 ,22.66 ,21.34 ,21.83 ,17.84 ,18.50 ,16.67 ,15.07 
Jiangsu,22.66 ,19.76 ,17.56 ,14.92 ,17.29 ,16.61 ,16.42 ,14.28 ,13.73 ,13.45 ,12.06 ,10.81 ,7.76 ,7.04 ,8.12 ,7.24 ,6.80 ,4.92 ,4.96 ,3.83 
Zhejiang,20.20 ,17.98 ,16.45 ,15.89 ,15.58 ,15.19 ,14.66 ,15.10 ,17.33 ,14.95 ,12.56 ,9.33 ,10.04 ,9.53 ,8.59 ,8.42 ,5.42 ,7.47 ,6.17 ,5.77 
Anhui,17.25 ,14.31 ,12.20 ,12.27 ,9.52 ,9.37 ,11.73 ,10.49 ,9.15 ,10.25 ,6.84 ,6.70 ,4.66 ,4.01 ,3.93 ,4.72 ,3.85 ,4.43 ,4.91 ,2.64 
Fujian,17.60 ,15.31 ,11.21 ,13.34 ,15.08 ,11.52 ,13.00 ,11.69 ,8.89 ,7.82 ,12.13 ,8.36 ,9.80 ,5.86 ,5.67 ,5.83 ,4.98 ,4.56 ,4.66 ,4.20 
Jiangxi,14.92 ,12.84 ,12.14 ,9.91 ,8.43 ,8.98 ,10.57 ,8.15 ,9.39 ,8.29 ,7.25 ,6.85 ,6.86 ,6.39 ,7.22 ,4.74 ,3.85 ,4.67 ,6.28 ,2.91 
Shandong,17.41 ,15.57 ,13.40 ,12.80 ,13.26 ,12.28 ,12.63 ,9.82 ,9.89 ,9.77 ,8.95 ,8.69 ,6.01 ,5.47 ,5.78 ,5.73 ,4.44 ,5.49 ,5.49 ,5.67 
Henan,13.97 ,12.73 ,10.74 ,9.37 ,8.66 ,7.96 ,8.74 ,10.36 ,8.09 ,6.66 ,7.64 ,6.40 ,5.16 ,4.72 ,4.04 ,4.14 ,4.22 ,4.42 ,3.20 ,4.30 
Hubei,18.53 ,16.54 ,14.70 ,15.56 ,16.20 ,13.92 ,14.99 ,11.43 ,11.92 ,12.22 ,11.24 ,9.53 ,7.63 ,8.08 ,8.16 ,7.71 ,5.07 ,5.78 ,5.44 ,3.86 
Hunan,16.85 ,13.14 ,13.21 ,11.88 ,11.81 ,11.65 ,11.89 ,9.20 ,8.50 ,7.34 ,7.92 ,7.59 ,6.14 ,6.51 ,6.17 ,5.07 ,4.49 ,5.22 ,4.70 ,4.35 
Guangdong,19.94 ,17.00 ,14.39 ,12.41 ,14.04 ,13.83 ,11.99 ,9.38 ,8.20 ,9.76 ,10.57 ,8.21 ,6.87 ,7.04 ,6.46 ,5.70 ,5.81 ,5.19 ,5.07 ,5.15 
Guangxi,13.39 ,11.85 ,9.46 ,7.07 ,7.65 ,7.99 ,9.21 ,8.01 ,7.70 ,6.48 ,8.80 ,5.98 ,4.10 ,3.29 ,4.01 ,4.57 ,4.00 ,5.18 ,4.52 ,3.48 
Hainan,15.88 ,15.06 ,14.70 ,16.65 ,13.12 ,9.73 ,10.85 ,8.13 ,8.78 ,10.25 ,7.68 ,7.77 ,6.88 ,5.77 ,6.26 ,5.43 ,5.45 ,5.21 ,5.78 ,3.59 
Chongqing,20.42 ,16.36 ,15.42 ,15.19 ,13.65 ,12.61 ,12.56 ,12.86 ,9.36 ,9.97 ,11.51 ,8.64 ,5.49 ,4.24 ,3.77 ,4.49 ,4.63 ,3.64 ,3.61 ,3.35 
Sichuan,16.49 ,14.10 ,14.14 ,12.92 ,10.69 ,8.99 ,10.99 ,9.06 ,10.54 ,9.92 ,8.30 ,6.68 ,5.62 ,4.35 ,4.10 ,4.51 ,3.48 ,3.62 ,3.74 ,3.75 
Guizhou,14.75 ,12.07 ,8.32 ,9.30 ,9.57 ,7.01 ,8.45 ,10.38 ,9.09 ,6.57 ,8.24 ,5.29 ,3.31 ,3.50 ,3.22 ,2.72 ,3.32 ,4.47 ,5.29 ,3.52 
