Province,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,2.43 ,2.31 ,2.56 ,2.58 ,2.62 ,2.62 ,2.54 ,2.49 ,2.61 ,2.53 ,2.42 ,2.45 ,2.53 ,2.58 ,2.65 ,2.64 ,2.70 ,2.79 ,2.74 ,2.87 
Tianjin,2.44 ,2.40 ,2.65 ,2.70 ,2.74 ,2.77 ,2.78 ,2.62 ,2.67 ,2.76 ,2.73 ,2.80 ,2.96 ,3.02 ,3.00 ,2.96 ,2.92 ,3.10 ,3.08 ,3.07 
Hebei,2.84 ,2.75 ,3.10 ,3.12 ,3.21 ,3.26 ,3.24 ,3.20 ,3.17 ,3.26 ,3.33 ,3.36 ,3.29 ,3.32 ,3.30 ,3.30 ,3.32 ,3.49 ,3.46 ,3.52 
Shanxi ,2.65 ,2.52 ,2.95 ,2.99 ,2.97 ,3.11 ,3.08 ,3.06 ,3.01 ,3.06 ,3.22 ,3.24 ,3.26 ,3.32 ,3.36 ,3.40 ,3.38 ,3.62 ,3.67 ,3.61 
Inner Mongolia,2.49 ,2.35 ,2.58 ,2.62 ,2.67 ,2.73 ,2.73 ,2.68 ,2.74 ,2.78 ,2.73 ,2.82 ,2.91 ,2.97 ,2.96 ,3.01 ,2.91 ,3.13 ,3.18 ,3.14 
Liaoning ,2.37 ,2.29 ,2.54 ,2.55 ,2.65 ,2.74 ,2.77 ,2.63 ,2.72 ,2.69 ,2.72 ,2.78 ,2.86 ,2.84 ,2.91 ,2.94 ,2.92 ,3.13 ,3.10 ,3.14 
Jilin,2.41 ,2.34 ,2.60 ,2.66 ,2.66 ,2.85 ,2.92 ,2.72 ,2.77 ,2.88 ,2.91 ,2.94 ,3.08 ,3.03 ,3.04 ,3.06 ,3.14 ,3.24 ,3.27 ,3.29 
Heilongjiang,2.32 ,2.22 ,2.47 ,2.59 ,2.61 ,2.75 ,2.79 ,2.67 ,2.74 ,2.77 ,2.81 ,2.85 ,2.88 ,2.84 ,2.92 ,2.99 ,2.97 ,3.14 ,3.14 ,3.22 
Shanghai,2.37 ,2.32 ,2.38 ,2.43 ,2.49 ,2.47 ,2.46 ,2.34 ,2.35 ,2.35 ,2.33 ,2.49 ,2.59 ,2.61 ,2.65 ,2.65 ,2.65 ,2.86 ,2.81 ,2.89 
Jiangsu,2.73 ,2.60 ,2.97 ,3.04 ,3.09 ,3.18 ,3.09 ,2.96 ,2.95 ,2.97 ,2.92 ,2.94 ,2.98 ,3.02 ,2.99 ,3.00 ,2.91 ,3.15 ,3.18 ,3.15 
