Province,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,877.1,733.59,789.02,526.76,608.78,981.37,1126.84,1136.53,1363.67,1483.37,1034.96,1201.39,1880.45,1031.43,1731.48,2205.03,2823.65,2285.82,1771.1,1604.4
Tianjin,1333.97,1220.74,1382.63,1140.73,1342.87,2521.87,1674.78,1483.64,1720.34,1511.4,1365.71,1302.61,1461.47,1135.35,1401.85,1332.49,1264.38,796.09,720.6,538.3
Hebei,5779.6,5572.25,4770.38,4714.42,5576.99,5899.72,5161.65,5015.06,5020.13,4622.46,5293.18,4325.12,2819.77,2128.86,1969.12,1692.42,1322.32,787.88,838.02,564.88
Shanxi ,3034.92,2549.49,2169.33,2215.59,2246.28,1881.51,1481.14,1433.91,1484.37,1390.44,1170.88,1070.54,964.05,893.1,846.5,740.73,619.86,350.24,299.43,261.43
Inner Mongolia,1713.36,1867.47,1803.55,1702.39,1726.16,2073.36,1944.92,1995.68,2263.65,2104.22,2911.16,2569.84,2253.98,2093.34,1809.73,1250.1,918.43,530.91,433.97,347.44
Liaoning ,3148.63,3447.26,3412.52,3554.81,3797.05,3383.08,3477.26,4932.08,8014.8,7655.4,6624.05,6013.5,4864.25,3731.19,3545.55,2730.74,2340.36,1578.1,1320.29,1120.36
Jilin,1672.77,1653.64,1873.99,1813.82,1602.06,1630.72,1304.82,1387.87,1985.95,2159.43,2122.39,2105.33,1758.37,1435.73,1184.4,879.24,745.92,346.59,436.32,432.67
Heilongjiang,1204.55,1349.86,1461.12,1665.58,1868.14,1797.02,1710.6,2131.46,2944.23,3226.22,2947.84,2385.68,1751.22,1286.62,1518.57,1298.51,1048.26,693.78,673.11,574.33
Shanghai,1489.95,1434.07,1353.7,1333.29,1341.62,2019.8,2009.17,1780.91,2015.81,1592.63,1500,1690.82,2928.04,2007.48,3279.17,2615.49,2845.7,3059.53,2224.5,1846.4
Jiangsu,14361.5,13855.72,12545.04,12040.68,12486.66,12657.66,10275.95,8800.93,10191.52,7923.37,6767.25,8112.37,9034.69,5282.89,6772.71,5317.2,4523.14,2759.41,2364.32,2074.47
Zhejiang,8423.68,8832.38,7803.99,7936.17,7669.7,7234.19,5131.88,3941.49,4097.63,3316.23,2757.18,3833.74,4760.12,2480.74,3924.92,3039.54,2824.65,2369.73,2356.78,1873.97
Anhui,9507.67,8695.35,8323.89,8901.25,7949.28,7506.87,5356.81,5364.94,5573.53,4275.43,3991.99,3641.88,3646.44,2542.6,2775.66,2037.54,1686.03,1179.66,906.35,681.9
Fujian,5597.61,5210.03,5073.73,4781.58,4526.13,4134.46,3315.69,3324.1,3957.46,2741.96,2213.3,2139.26,2420.83,1250,2096.37,1743.39,1720.56,1224.61,1083.79,882.92
Jiangxi,6681.26,5853.05,5678.98,5389,4964.97,4140.55,3145.83,2775.22,2846.04,2125.9,2156.77,2265.72,2108.07,1604.86,2037.87,1635.26,1454.51,986.92,693.53,466.81
Shandong,12632.05,11904.74,11429.01,11755.37,11201.04,10598.58,8526.85,7972.49,9300.29,7745.87,8741.16,8448.26,6478.28,5039.4,4710.66,3824.42,3417.75,2207.28,2005.03,1482.23
Henan,12258.83,12831.18,12981.63,12482.88,11707.26,10137.13,7645.84,7009.09,6561.41,5455.5,5725.12,5092.49,4017.45,2943.36,3569.18,2190.99,1539.6,938.2,795.78,584.74
Hubei,7331.61,5960.08,7967.09,8101.71,7363.67,6789.21,5647.72,5002.6,4765.68,3620.1,3788.68,3236.88,2576.32,1821.31,2381.91,1915.3,1549.19,1245.38,1015.04,724.65
Hunan,8316.71,8506.65,8073.25,7997.94,7368.27,7190.66,5671.19,4852.32,5411.48,4664.08,4455.59,4140.07,3262.34,2413.7,2498.83,1815.01,1611.6,1030.35,725.28,518.18
Guangdong,11826.26,12930.66,11872.61,12075.1,13522.51,13021.97,10497.62,8163.56,8830.95,7157.63,6706.6,6552.81,6567.43,4360.45,5603.88,4693.39,4546.32,3008.59,2739.6,2260
Guangxi,5281.5,6007.45,6076.88,5589.89,4687.41,3864.01,3181.51,2869.32,2765.15,2546.96,2749.33,2607.15,2249.7,1637.99,1855.5,1372.4,1314.37,749.79,451.67,302.29
Hainan,672.14,626.19,721.57,1298.82,2173.12,1417.09,984.79,942.84,1154.86,898.35,819.02,834.19,545.91,358.72,299.59,193.73,233.08,118.25,108.95,71.03
Chongqing,4945.42,4814.49,5149.08,5424.76,5452.65,5105.46,4477.71,4423.68,4359.19,4105.11,4063.42,3986.31,3771.22,2669.93,3310.13,2011.7,1792.41,1138.26,1133,870.4
Sichuan,10912.14,10902.37,10451.05,9895.35,8786.61,7884.09,6495.43,6176.51,6505.32,5679.33,5826.52,5849.34,5553.13,3247.32,4562.47,3738.89,3028.55,1839.02,2181.82,1644.48
Guizhou,4825.53,4929.93,4612.13,4441.44,3897.65,3426.96,2943.37,2707.09,2646.98,2002.4,1698.52,1596.3,1541.91,848.11,989.39,809.56,774.71,494.45,494.45,378.51
Yunnan,3208.6,4175.88,4064.52,3643.93,3484.49,2933.1,2576.8,2618.02,2855.52,2789.68,2829.58,2658.99,2040.33,1478.25,1792.84,1500.19,1294.95,479.53,480.52,371.89
Tibet,115.5,81.62,110.49,62.1,44.96,71.16,46.32,53.64,22.78,20.65,17.29,18.76,61.42,62.08,59.6,42.28,24.18,9.56,10.2,14.66
Shaanxi,3886.63,3902.4,3818.25,3545.6,3419.84,3012.61,2717.98,2836.69,2831.22,2530.84,2874.51,2471.95,1995.67,1426.06,1377.91,1060.08,849.43,472.93,531.98,441.41
Gansu,2118.38,1863.81,1569.16,1437.95,1386.04,1478.81,1307.48,1212.6,1134.81,893.36,758.15,692.07,659.38,588.63,556.25,482.9,439.83,235.19,208.87,152.23
Qinghai,329.06,420.64,406.66,377.41,399.57,373.03,329.71,362.92,369.7,246.85,342.56,266.43,208.02,141.23,147.34,110.96,108.46,83.65,70.34,61.17
Ningxia,845.77,971.87,887.35,887.97,870.28,830.22,708.12,939.37,928.26,707.57,705.13,816.79,677.98,453.26,448.23,337.02,319.16,267.55,187.81,98.49
Xinjiang,2199.49,1773.61,1511.75,1195.14,1316.7,1543.66,1536.49,1541.25,1799.95,1274.8,1570.56,1450.02,1326.67,886.35,1078.28,806.46,606.48,552.63,516.48,455.68
