Province,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,87.53,87.53,87.35,87.09,86.92,86.74,86.7,86.5,86.4,86.28,86.22,85.93,85,84.92,84.49,84.32,83.62,82.52,81.36,80.15
Tianjin,84.85,84.72,84.33,83.95,83.55,83.3,82.9,82.58,82.27,81.57,80.46,79.6,78.01,77.21,76.32,75.72,75.07,74.5,73.89,73.27
Hebei,61.14,60.08,58.78,57.33,55.74,53.87,51.67,49.37,48.02,46.6,45.59,44.5,43.74,41.89,40.26,38.76,37.69,35.19,32.78,30.45
Shanxi ,63.42,62.52,61.28,59.85,58.6,57.26,55.87,54.31,52.87,51.32,49.8,48.04,45.99,45.12,44.03,42.99,42.12,40.63,39.17,37.73
Inner Mongolia,68.21,67.5,66.46,65.52,64.61,63.38,62.09,60.96,59.84,58.4,57.04,55.5,53.42,51.72,50.14,48.65,47.19,46.29,45.38,44.48
Liaoning ,72.81,72.15,71.22,70.26,69.48,68.87,68.05,67.05,66.46,65.65,64.06,62.1,60.35,60.05,59.19,58.98,58.71,57.82,56.93,56.04
Jilin,63.37,62.65,61.64,60.87,59.7,58.75,57.63,56.81,55.73,54.52,53.39,53.33,53.32,53.22,53.15,52.96,52.5,51.95,51.38,50.82
Heilongjiang,65.7,65.59,64.61,63.45,61.9,61.1,60.47,59.23,58.05,56.87,56.48,55.67,55.49,55.4,53.9,53.49,53.09,52.79,52.48,52.16
Shanghai,89.31,89.31,89.24,89.13,89.09,89.01,88.53,89.3,89.58,89.29,89.3,89.27,88.6,88.6,88.66,88.7,89.1,88.94,88.78,88.63
Jiangsu,73.94,73.45,72.46,71.19,70.18,68.93,67.49,65.7,64.39,63,62.01,60.58,55.61,54.3,53.2,51.89,50.5,48.37,46.63,44.91
Zhejiang,72.66,72.17,71.58,70.01,68.91,67.72,66.32,64.96,63.93,62.9,62.3,61.61,57.9,57.6,57.21,56.51,56.02,54.56,53.09,51.62
Anhui,59.4,58.33,57.03,55.65,54.28,52.63,50.97,49.31,47.86,46.3,44.79,43.01,42.1,40.51,38.71,37.1,35.51,33.88,32.3,30.76
Fujian,69.69,68.76,67.88,66.98,65.78,64.39,63.23,62,60.8,59.31,58.11,57.11,55.1,53.01,51.41,50.4,49.4,46.14,44.99,43.84
Jiangxi,61.46,60.43,59.08,57.35,55.71,53.98,52.31,50.56,49.04,47.4,45.75,44.06,43.19,41.36,39.81,38.67,37,35.02,33.1,31.23
Shandong,63.94,63.05,61.86,61.46,60.79,59.13,56.97,54.77,53.46,52.03,50.86,49.7,48.32,47.61,46.75,46.1,45,43.57,42.16,40.76
Henan,56.45,55.43,54.01,52.24,50.56,48.78,47.02,45.05,43.6,41.98,40.47,38.5,37.7,36.03,34.34,32.47,30.65,29.06,27.51,26.02
Hubei,64.08,62.89,61.84,60.99,59.87,58.57,57.18,55.73,54.5,53.23,51.79,49.7,46,45.19,44.31,43.81,43.2,42.6,42,41.4
Hunan,59.71,58.77,57.45,56.1,54.62,52.69,50.79,48.98,47.64,46.22,44.96,43.3,43.19,42.15,40.46,38.71,37.01,35.49,34.01,32.55
Guangdong,74.63,74.15,72.65,71.81,70.74,70.15,69.51,68.62,68.09,67.15,66.57,66.18,63.41,63.37,63.14,63.01,60.68,59.56,58.43,57.3
Guangxi,55.07,54.19,52.97,51.83,50.58,49.25,47.99,46.54,45.11,43.48,41.89,40,39.21,38.16,36.24,34.65,33.63,32.48,31.37,30.27
Hainan,60.98,60.28,59.4,59.16,58.02,56.74,54.92,53.31,52.28,50.99,50.34,49.83,49.19,48.01,47.22,46.05,45.17,44.17,43.15,42.13
Chongqing,70.33,69.46,68.22,66.61,65.01,63.34,61.47,59.74,58.29,56.64,54.99,53,51.59,49.98,48.3,46.69,45.21,42.68,40.2,37.77
Sichuan,57.82,56.73,55.36,53.5,51.78,50.01,48.27,46.5,44.96,43.35,41.85,40.17,38.7,37.4,35.6,34.3,33,31.68,30.38,29.12
Guizhou,54.34,53.16,51.48,49.53,47.75,45.56,42.96,40.25,37.89,36.3,35.04,33.8,29.88,29.12,28.25,27.45,26.86,26.25,25.64,25.04
Yunnan,51.04,50.04,48.66,47.44,46.28,44.64,42.93,41.22,39.99,38.48,36.58,34.7,34,33,31.59,30.49,29.51,28.2,26.93,25.71
Tibet,36.61,35.79,34.63,33.9,33.24,31.47,28.79,26.15,23.97,22.86,22.65,22.67,22.3,21.92,21.45,21.05,20.71,24.96,23.34,21.79
Shaanxi,63.63,62.65,61.28,59.65,58.07,56.4,54.73,53.02,51.58,49.72,47.36,45.76,43.49,42.09,40.61,39.12,37.24,36.21,35.2,34.21
Gansu,53.33,52.22,50.7,49.7,48.14,46.07,44.23,42.28,40.48,38.78,37.26,36.13,34.87,33.56,32.26,31.1,30.02,28.75,27.51,26.31
Qinghai,60.94,60.03,58.81,57.24,55.46,53.61,51.65,50.87,49.21,47.81,46.48,44.76,42.01,40.79,40.04,39.23,39.23,38.33,37.43,36.53
Ningxia,66.07,64.91,63.6,62.11,60.99,58.71,57.02,54.87,52.85,51.14,50.15,47.87,46.08,44.98,44.1,43.05,42.28,40.23,38.22,36.24
Xinjiang,57.24,56.53,55.53,54.01,51.9,50.41,48.76,46.8,44.95,44.21,43.73,43.02,39.83,39.65,39.14,37.95,37.16,36.47,35.8,35.13
